"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3,068304987E0;-1,600099914E-2;2,460899949E-2;-4,872599989E-2
3,077991756E0;-2,611700073E-2;1,962899975E-2;-2,971900068E-2
3,087679289E0;-2,611700073E-2;1,962899975E-2;-2,971900068E-2
3,097366059E0;-2,422600053E-2;2,464500070E-2;-2,971200086E-2
3,107051996E0;-2,422600053E-2;2,464500070E-2;-2,971200086E-2
3,116738765E0;-2,432600036E-2;2,665200084E-2;-3,170600161E-2
3,126426221E0;-2,432600036E-2;2,665200084E-2;-3,170600161E-2
3,136112991E0;-9,207000025E-3;2,466399968E-2;-3,471300006E-2
3,145798929E0;-9,207000025E-3;2,466399968E-2;-3,471300006E-2
3,155485621E0;-2,811400034E-2;1,966300048E-2;-2,971800044E-2
3,165173145E0;-2,811400034E-2;1,966300048E-2;-2,971800044E-2
3,174859837E0;-2,120600082E-2;2,667899989E-2;-3,671199828E-2
3,184545818E0;-2,120600082E-2;2,667899989E-2;-3,671199828E-2
3,194232510E0;-1,909600012E-2;2,467699908E-2;-2,671799995E-2
3,203920073E0;-1,909600012E-2;2,467699908E-2;-2,671799995E-2
3,213606842E0;-9,189999662E-3;2,168500051E-2;-2,971299924E-2
3,223292798E0;-9,189999662E-3;2,168500051E-2;-2,971299924E-2
3,232979567E0;-2,130700089E-2;2,469599992E-2;-2,970599942E-2
3,242667029E0;-2,130700089E-2;2,469599992E-2;-2,970599942E-2
3,252353789E0;-2,130700089E-2;2,469599992E-2;-2,970599942E-2
3,262039712E0;-1,930099912E-2;1,285600010E-2;-2,270299941E-2
3,271726491E0;-1,930099912E-2;1,285600010E-2;-2,270299941E-2
3,281414029E0;-1,418900024E-2;2,187599987E-2;-3,170799837E-2
3,291100726E0;-1,418900024E-2;2,187599987E-2;-3,170799837E-2
3,300786649E0;-1,909199916E-2;2,188500017E-2;-3,471399844E-2
3,310473409E0;-1,909199916E-2;2,188500017E-2;-3,471399844E-2
3,320160947E0;-1,398999989E-2;9,906999767E-3;-2,971900068E-2
